Word,Frequency
gap,0.00012803228
road,0.00012803273
continuation,0.00012803287
hazard,0.00012804253
driven,0.00012804296
exhaust,0.00012804334
recirculation,0.00012804386
immediate,0.00012804412
strictly,0.00012804489
malfunction,0.0001280454
agree,0.00012813443
altering,0.00012813491
passive,0.00013021623
automatic,0.0001302174
terminate,0.00013530986
transmission,0.0001353133
arose,0.00013531833
weight,0.0001353193
magistrate,0.0001353194
proposed,0.00013641588
refusing,0.00013641606
comprising,0.00013642662
supplying,0.00013701672
occur,0.00013710851
indirectly,0.00013853292
freedom,0.00013853303
exceptional,0.00013853305
hungarian,0.00013853509
reproduce,0.00014030207
giudice,0.00014032521
preceding,0.00014032685
dutch,0.00014033042
never,0.00014033655
approach,0.00014033668
attempt,0.00014033669
said,0.00014088897
us,0.00014091974
predating,0.0001409315
constituent,0.00014262328
inherently,0.00014264457
rechtbank,0.00014276133
dry,0.00014276139
hinder,0.0001427614
coming,0.00014280979
remainder,0.00014371744
requested,0.00014371745
usefully,0.00014440458
enjoys,0.00014442141
confronted,0.00014481574
report,0.00014482418
conceptual,0.00014482554
week,0.00014550542
injurious,0.00014561054
additive,0.00014562627
border,0.00014563333
cross,0.00014563333
territorial,0.00014582995
derives,0.00014583216
certainty,0.00014583477
play,0.00014620145
none,0.00014620577
line,0.00014623185
share,0.00014623711
materialisation,0.00014623873
proceeds,0.00014623874
britain,0.0001463159
great,0.0001463159
formally,0.00014692819
obstacle,0.00014693117
starting,0.0001469312
jeopardising,0.00014754783
paying,0.00014754788
contribution,0.00014763023
block,0.00014763202
landesgericht,0.00014763519
linz,0.00014763519
described,0.00014763523
sim,0.00014763532
telekommunikationsgesetz,0.00014763595
intervening,0.0001476382
authorise,0.00014870014
fulfil_obligation,0.00014873472
four,0.0001490285
adjust,0.00014905998
problem,0.00014906307
surface,0.00014908604
intelligibility,0.00014930945
evoke,0.00014938466
imply,0.00014940434
pharmaceutical,0.00014943874
authorization,0.00014943874
invited,0.00014943884
attending,0.00015001361
ability,0.00015081718
temporarily,0.00015085173
regulatory_framework,0.00015085175
deemed,0.00015085182
indeed,0.00015131863
hof,0.00015142636
acquire,0.00015147946
deceive,0.00015264608
voice,0.0001526703
industrial,0.00015267036
unilateral,0.00015292548
