Word,Frequency
exhaust,0.00011655532
hazard,0.00011655532
immediate,0.00011655532
malfunction,0.00011655532
recirculation,0.00011655532
strictly,0.00011655532
driven,0.00011655532
maize,0.00012101668
status,0.00012285828
none,0.00012378438
arose,0.00012383336
authorization,0.00012599966
pharmaceutical,0.00012599966
pharmacological,0.00012600419
ability,0.00012605023
promoting,0.00012744876
gap,0.00013014064
agree,0.00013112059
altering,0.00013112069
authorise,0.00013180346
proposed,0.0001318777
pesticide,0.00013215498
reviewing,0.00013215722
tribunale,0.00013263737
originating,0.00013385617
entirely,0.00013385867
decline,0.00013385978
published,0.00013439143
comparability,0.00013439148
four,0.00013467298
deemed,0.00013483403
predating,0.00013483466
adapted,0.00013548312
acknowledged,0.00013548603
imply,0.00013596239
aside,0.00013635983
indicates,0.00013646945
week,0.0001368183
welfare,0.00013718013
indexed,0.00013721538
continuation,0.00013722247
front,0.00013733988
usefully,0.00013741046
designates,0.00013816115
international,0.00013816115
accuracy,0.00013828735
linz,0.00013833566
landesgericht,0.00013833566
duty,0.00013844836
earlier,0.00013844932
report,0.00013850495
relative,0.00013850795
reveal,0.0001388579
stipulates,0.00013939243
submission,0.00013939249
distinction,0.00013956237
verifiable,0.00013979657
refusing,0.00014005316
prof,0.00014020827
honey,0.00014028496
repair,0.00014044844
temperature,0.00014044844
normal,0.00014044844
preceding,0.00014068118
line,0.00014102842
indirectly,0.00014103178
parma,0.00014168692
lacking,0.00014177585
justify,0.00014255378
safe,0.00014266625
britain,0.0001432285
great,0.00014322852
harmful,0.00014333286
exporting,0.00014333293
therein,0.00014364721
characterised,0.00014364721
accurate,0.00014441773
road,0.00014454722
economically,0.00014454732
starting,0.00014463642
invested,0.00014474615
approach,0.00014505115
disapply,0.00014523072
derives,0.00014573426
conversion,0.00014580866
post,0.00014625791
primarily,0.00014651552
away_business,0.00014656404
contamination,0.00014661589
adventitious,0.00014661592
us,0.00014663841
shorter,0.00014668536
withdraws,0.00014678175
death,0.00014698833
pain,0.00014713469
varying,0.00014807282
extrajudicial,0.00014810696
dissuasive,0.0001482331
inherently,0.00014867753
paying,0.00014895908
attached,0.00014961621
directed,0.0001496163
test,0.00015037581
various,0.0001503762
wale,0.00015058069
england,0.00015058069
short,0.0001513332
hygiene,0.00015153634
section,0.00015168142
whilst,0.00015168166
special,0.00015182699
acquire,0.00015182994
bad,0.00015209582
being,0.000152118
ninth,0.00015239579
cross,0.00015246244
border,0.00015246244
recovery,0.00015248361
play,0.00015252664
except,0.00015301698
unilateral,0.00015327333
fix,0.00015349944
taste,0.00015359715
fulfil_obligation,0.00015377843
disregarded,0.0001538224
stated,0.0001538295
materialisation,0.00015403378
proceeds,0.0001540338
detected,0.00015429842
rejecting,0.00015430176
scale,0.00015453469
journal,0.00015469526
variety,0.00015478705
autonomous,0.00015479085
effectively,0.00015559241
equal,0.000155716
seq,0.00015587687
systematic,0.00015612165
obliges,0.00015653299
pyramid,0.00015657594
promotional,0.00015657594
acquiring,0.00015662517
aim,0.00015678554
weight,0.00015680544
calling,0.00015712398
practically,0.00015752773
forward,0.00015758318
pure,0.00015793592
sample,0.00015828093
described,0.00015855134
committed,0.00015859652
strength,0.00015861957
remainder,0.00015871004
pleaded,0.00015893868
characterises,0.00015904762
transparently,0.00015917164
territorial,0.00015959032
hinder,0.00015963182
exclude,0.00015965769
believe,0.00015968674
minimis,0.00015985154
preamble,0.00015985312
exceptional,0.00015991132
possibly,0.00015996945
attempt,0.00016002111
harm,0.00016021878
formally,0.0001602226
length,0.0001606089
revealed,0.00016061451
resulted,0.00016107522
formation,0.00016110348
restoration,0.0001613174
concise,0.00016132202
identification,0.0001613222
settled,0.00016142569
collectively,0.00016144472
microbiological,0.00016158102
said,0.0001618181
reproduce,0.0001622396
viewed,0.00016229069
six,0.00016244556
resource,0.00016256055
appointed,0.00016284036
development,0.00016330535
enforced,0.0001636349
sim,0.00016363493
carriage,0.00016385256
romania,0.00016417463
engine,0.00016434144
motor,0.00016434144
accident,0.00016434144
driving,0.00016434144
voice,0.00016469025
telekommunikationsgesetz,0.00016481522
pricing,0.00016486594
indeed,0.00016544035
remunerate,0.00016556277
never,0.00016576464
trace,0.00016579284
automatic,0.00016591548
passive,0.00016591548
example,0.0001660647
logo,0.00016652324
investigation,0.00016673158
staying,0.00016675534
deleted,0.00016695072
allegedly,0.00016697084
complying,0.00016715433
restoring,0.00016722684
minor,0.00016728735
certainty,0.00016730564
requested,0.00016734113
occurrence,0.00016742361
research,0.00016743362
choose,0.00016769412
realised,0.00016772652
urgency,0.00016775023
enjoys,0.00016775842
obstacle,0.00016801158
terminate,0.0001680671
expect,0.00016830718
verifiability,0.0001683144
passing,0.00016901268
industrial,0.00016944153
comprising,0.0001698031
relates,0.00017118905
intelligibility,0.0001715011
undermine,0.00017160183
jeopardising,0.0001717864
others,0.00017180697
composition,0.00017189038
supplying,0.00017278144
lie,0.00017284873
prejudice,0.00017304247
define,0.00017324067
alteration,0.00017341183
renewal,0.0001736395
contribute,0.00017389808
specialist,0.00017391068
soon,0.00017404763
enjoy,0.00017412014
integral,0.00017416156
acquisition,0.00017421723
temporarily,0.00017439909
deciding,0.00017459002
recital,0.00017468228
regulatory_framework,0.00017494691
despite,0.000175015
chemical,0.0001752665
officio,0.00017533817
ex,0.00017533818
calculate,0.00017577641
employed,0.00017606135
posse,0.00017614043
proving,0.00017615003
defence,0.00017665689
fluctuation,0.00017674197
introducing,0.00017690516
magistrate,0.000177017
materially,0.00017714388
fitted,0.00017715614
intervening,0.00017770058
share,0.00017802029
register,0.00017804546
grammatical,0.00017808455
well_informed,0.0001780848
preserve,0.00017826518
follow,0.00017830681
transmission,0.00017859085
called,0.00017862799
behaviour,0.00017952948
zero,0.00017955662
therewith,0.00017974107
problem,0.00017999754
brings,0.00018032403
transferred,0.00018054471
show,0.00018101186
always,0.00018114566
penalised,0.00018120653
policy,0.00018129258
five,0.00018164988
allowed,0.00018218099
characterising,0.0001822417
pursue,0.0001827384
intervene,0.00018290765
unilaterally,0.00018300634
declaring,0.00018303489
coming,0.0001831779
catalogue,0.00018345103
entrusted,0.00018375258
enjuiciamiento,0.0001847997
belonging,0.00018484102
summary,0.00018492137
injury,0.00018520454
holding,0.00018566159
conferring,0.0001856633
introduced,0.00018576921
hof,0.00018583961
better,0.00018629014
dutch,0.00018646412
took,0.00018671792
amtsgericht,0.00018701605
affect_validity,0.00018763595
shown,0.00018783765
publicly,0.00018806968
emission,0.00018823442
ultimately,0.00018841526
amortisation,0.00018872785
respective,0.0001888852
aforementioned,0.00018894239
initiated,0.00018894396
inclusion,0.0001892184
block,0.00018924386
young,0.00018939044
twofold,0.00018939204
remain,0.00018948507
restricted,0.00018989434
constituent,0.00019015837
tantamount,0.00019025542
safeguard,0.0001903981
equity,0.00019054215
fine,0.00019055315
repay,0.00019072337
coverage,0.0001908399
traditionally,0.00019087971
connect,0.00019100426
giudice,0.00019170476
entire,0.00019189082
dealer,0.00019209384
acted,0.00019220504
substantial,0.00019232168
relevance,0.00019240651
maintain,0.00019250513
purchasing,0.00019263485
admissibility,0.0001931808
moreover,0.00019319836
implemented,0.00019386326
differential,0.00019388027
released,0.00019396728
surface,0.00019438335
cumulative,0.00019468463
ongoing,0.00019511548
specifying,0.00019515691
targeted,0.00019574711
partner,0.00019600855
politierechter,0.00019644962
economische,0.00019644962
chapter,0.00019647082
contravene,0.00019668658
wien,0.00019683405
authorising,0.00019690978
unjust,0.00019704278
expressed,0.00019718584
evoke,0.00019750859
craft,0.00019753257
musical,0.0001976799
stemming,0.0001976799
audio,0.0001976799
cinematographic,0.00019767991
filtering,0.00019767991
financed,0.00019795515
pictograms,0.0001979663
ensured,0.00019812379
confer,0.0001994216
passed,0.00019964152
educational,0.00020016746
barring,0.00020019626
role,0.00020031353
dry,0.00020040238
arises,0.00020050099
conflict,0.0002007911
freedom,0.00020079121
deceive,0.00020080981
injurious,0.00020084475
transfer,0.0002010438
certification,0.00020105523
oppose,0.00020115492
inherent,0.000201703
residential,0.00020244079
assigning,0.00020257788
completed,0.00020290943
attending,0.00020295697
attention,0.0002032842
scheduled,0.00020329225
former,0.00020356258
served,0.00020357956
advice,0.00020371619
per,0.00020400394
submit,0.0002040569
range,0.0002041754
defined,0.00020418267
custom,0.00020437952
layout,0.00020442482
creating,0.00020448872
declaratory,0.00020454296
substitute,0.00020454802
recipient,0.00020459415
fourth,0.00020502952
assigned,0.0002052274
preservative,0.00020543952
produce,0.00020554649
prove,0.00020564673
exploitation,0.00020585975
originally,0.00020619264
simple,0.00020619747
pursued,0.00020620985
royal,0.00020621748
vegetable,0.00020650499
release,0.00020659388
accepted,0.00020675462
throughout,0.00020676624
additive,0.0002068134
ceiling,0.00020719295
minister,0.00020735114
omitted,0.00020861285
substituted,0.0002086914
undertakes,0.00020881402
demonstrate,0.00020907795
delegated,0.00020953701
grammatically,0.00020956618
maintenance,0.00021041521
dissuade,0.00021062256
notified,0.00021094782
approved,0.00021100645
salt,0.00021116016
alcoholic,0.00021119315
guaranteed,0.00021144324
occupied,0.00021153889
attributed,0.00021175659
interpret,0.000211804
streaming,0.0002119292
discriminatory,0.0002119311
permissible,0.0002120388
small,0.000212151
vi,0.00021219834
previous,0.00021263589
arrondissementsrechtbank,0.00021267225
los,0.00021298516
conceptual,0.00021298636
para,0.00021298685
decreto,0.00021298722
levy,0.00021302876
reality,0.00021302879
enforce,0.0002130992
judicata,0.00021341706
re,0.00021341821
mixture,0.00021346526
reprotoxic,0.00021346526
30th,0.00021346526
appearing,0.00021356488
mutual,0.00021365682
cancel,0.00021377618
trip,0.00021420525
mention,0.00021430252
among,0.00021443416
inaccurate,0.0002152011
showing,0.00021570377
presumed,0.00021595317
firstly,0.00021600643
proportionality,0.00021604207
northern,0.00021610911
rely,0.00021628094
occurred,0.00021628245
roaming,0.00021648557
inertia,0.00021702026
render,0.00021713071
became,0.00021717482
exhaustive,0.0002174938
